stamp,aeb_switch,aeb_state,aeb_direction,aeb_fcn_state
3020194877424,1,2,0,0
3020210472240,1,2,0,0
3020230351708,1,2,0,0
3020250484248,1,2,0,0
3020271061648,1,2,0,0
3020291557784,1,2,0,0
3020310386576,1,2,0,0
3020330386016,1,2,0,0
3020350723268,1,2,0,0
3020371625444,1,2,0,0
3020390500792,1,2,0,0
3020410629312,1,2,0,0
3020430320476,1,2,0,0
3020450516664,1,2,0,0
3020470579424,1,2,0,0
3020492574496,1,2,0,0
3020510405668,1,2,0,0
3020530594092,1,2,0,0
3020550457248,1,2,0,0
3020570850048,1,2,0,0
3020591788820,1,2,0,0
3020611377320,1,2,0,0
3020630397924,1,2,0,0
3020650990416,1,2,0,0
3020670586412,1,2,0,0
3020690704240,1,2,0,0
3020710765520,1,2,0,0
3020731394992,1,2,0,0
3020750497952,1,2,0,0
3020770547604,1,2,0,0
3020791493324,1,2,0,0
3020810277712,1,2,0,0
3020830390576,1,2,0,0
3020850523952,1,2,0,0
3020871519832,1,2,0,0
3020891185880,1,2,0,0
3020910368860,1,2,0,0
3020931376404,1,2,0,0
3020950435492,1,2,0,0
3020970490036,1,2,0,0
3020990816648,1,2,0,0
3021011391440,1,2,0,0
3021030378240,1,2,0,0
3021050491596,1,2,0,0
3021070479904,1,2,0,0
3021091510012,1,2,0,0
3021110372676,1,2,0,0
3021130336308,1,2,0,0
3021151425248,1,2,0,0
3021170586772,1,2,0,0
3021190460820,1,2,0,0
3021210317040,1,2,0,0
3021231381520,1,2,0,0
3021250466380,1,2,0,0
3021270469096,1,2,0,0
3021290503344,1,2,0,0
3021310421308,1,2,0,0
3021330382532,1,2,0,0
3021351400536,1,2,0,0
3021370833112,1,2,0,0
3021390507452,1,2,0,0
3021410507992,1,2,0,0
3021430389568,1,2,0,0
3021450503708,1,2,0,0
3021470528608,1,2,0,0
3021491550224,1,2,0,0
3021510438852,1,2,0,0
3021530354656,1,2,0,0
3021551061504,1,2,0,0
3021570590964,1,2,0,0
3021590624348,1,2,0,0
3021610389216,1,2,0,0
3021630358600,1,2,0,0
3021652573572,1,2,0,0
3021671106720,1,2,0,0
3021691408276,1,2,0,0
3021710347032,1,2,0,0
3021730300004,1,2,0,0
3021750453624,1,2,0,0
3021770541996,1,2,0,0
3021790704596,1,2,0,0
3021811388944,1,2,0,0
3021830414796,1,2,0,0
3021852596568,1,2,0,0
3021870547596,1,2,0,0
3021890926508,1,2,0,0
3021911324912,1,2,0,0
3021931392272,1,2,0,0
3021950521168,1,2,0,0
3021970581064,1,2,0,0
3021990568460,1,2,0,0
3022010325292,1,2,0,0
3022030452416,1,2,0,0
3022053221604,1,2,0,0
3022071254424,1,2,0,0
3022090476512,1,2,0,0
3022110439936,1,2,0,0
3022131352188,1,2,0,0
3022152139344,1,2,0,0
3022170548240,1,2,0,0
3022190949848,1,2,0,0
3022210439536,1,2,0,0
3022230380544,1,2,0,0
3022255497452,1,2,0,0
3022270505420,1,2,0,0
3022291310884,1,2,0,0
3022310371732,1,2,0,0
3022330374968,1,2,0,0
3022353877884,1,2,0,0
3022371175724,1,2,0,0
3022391553504,1,2,0,0
3022411336168,1,2,0,0
3022430470232,1,2,0,0
3022459233048,1,2,0,0
3022470522232,1,2,0,0
3022491116544,1,2,0,0
3022510361104,1,2,0,0
3022530355040,1,2,0,0
3022555385384,1,2,0,0
3022571615376,1,2,0,0
3022591552576,1,2,0,0
3022610332896,1,2,0,0
3022630381776,1,2,0,0
3022658088480,1,2,0,0
3022670589096,1,2,0,0
3022690852896,1,2,0,0
3022710367556,1,2,0,0
3022730338848,1,2,0,0
3022750594868,1,2,0,0
3022777504640,1,2,0,0
3022790512928,1,2,0,0
3022810461128,1,2,0,0
3022830393464,1,2,0,0
3022850471864,1,2,0,0
3022871081376,1,2,0,0
3022890486828,1,2,0,0
3022910311592,1,2,0,0
3022930386240,1,2,0,0
