stamp,aeb_switch,aeb_state,aeb_direction,aeb_fcn_state
2457950473132,1,2,0,0
2457990112980,1,2,0,0
2457991312512,1,2,0,0
2458010409728,1,2,0,0
2458030410536,1,2,0,0
2458050400404,1,2,0,0
2458070453984,1,2,0,0
2458090612436,1,2,0,0
2458111361528,1,2,0,0
2458130399088,1,2,0,0
2458150543520,1,2,0,0
2458171475408,1,2,0,0
2458190572624,1,2,0,0
2458210448912,1,2,0,0
2458231303132,1,2,0,0
2458250304724,1,2,0,0
2458271630256,1,2,0,0
2458291646524,1,2,0,0
2458310364764,1,2,0,0
2458330462708,1,2,0,0
2458350419264,1,2,0,0
2458370955836,1,2,0,0
2458390676504,1,2,0,0
2458411327776,1,2,0,0
2458430369660,1,2,0,0
2458450472596,1,2,0,0
2458471381560,1,2,0,0
2458490763768,1,2,0,0
2458510833152,1,2,0,0
2458530377456,1,2,0,0
2458550496832,1,2,0,0
2458570471844,1,2,0,0
2458590567680,1,2,0,0
2458611459184,1,2,0,0
2458630358792,1,2,0,0
2458650397452,1,2,0,0
2458670445068,1,2,0,0
2458690571552,1,2,0,0
2458710621304,1,2,0,0
2458730495096,1,2,0,0
2458750880752,1,2,0,0
2458770565704,1,2,0,0
2458790621432,1,2,0,0
2458810475840,1,2,0,0
2458830359552,1,2,0,0
2458850396704,1,2,0,0
2458870525000,1,2,0,0
2458890459248,1,2,0,0
2458911087664,1,2,0,0
2458930355108,1,2,0,0
2458950353900,1,2,0,0
2458971055984,1,2,0,0
2458990601584,1,2,0,0
2459010375856,1,2,0,0
2459030355996,1,2,0,0
2459050415452,1,2,0,0
2459070471792,1,2,0,0
2459090511332,1,2,0,0
2459110459840,1,2,0,0
2459130991228,1,2,0,0
2459151409424,1,2,0,0
2459170524004,1,2,0,0
2459190575436,1,2,0,0
2459210381036,1,2,0,0
2459231409032,1,2,0,0
2459250395120,1,2,0,0
2459270626792,1,2,0,0
2459290897468,1,2,0,0
2459310355248,1,2,0,0
2459331461132,1,2,0,0
2459350813176,1,2,0,0
2459371652112,1,2,0,0
2459390646904,1,2,0,0
2459410424384,1,2,0,0
2459430365300,1,2,0,0
2459450396816,1,2,0,0
2459470409232,1,2,0,0
2459490538864,1,2,0,0
2459510439424,1,2,0,0
2459532879688,1,2,0,0
2459551469140,1,2,0,0
2459570624872,1,2,0,0
2459591414708,1,2,0,0
2459610521424,1,2,0,0
2459630356768,1,2,0,0
2459650366276,1,2,0,0
2459670790696,1,2,0,0
2459691333596,1,2,0,0
2459710348832,1,2,0,0
2459733202232,1,2,0,0
2459750493368,1,2,0,0
2459770460232,1,2,0,0
2459790430664,1,2,0,0
2459810507560,1,2,0,0
2459830630504,1,2,0,0
2459850759456,1,2,0,0
